NAF_SECTION,Entité,g CO2 / € du secteur,g CO2 /  € de l'entreprise,tonnes CO2 scopes 1 & 2
INDUSTRIE MANUFACTURIÈRE,PROTEOR,111.09005926541855,18.275271204495617,1209
SANTÉ HUMAINE ET ACTION SOCIALE,LES SINOPLIES,38.179840396068116,18.209424568695166,1053
CONSTRUCTION,EIFFAGE ENERGIE SYSTEMES AQUITAINE,36.54854887929035,18.205838560886217,2402
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,FIDUCIAL BUREAUTIQUE,10.451564077108435,18.15411465166084,3037.6
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ARGEDIS,10.451564077108435,18.089982160082126,5129
CONSTRUCTION,AXIMA CONCEPT,36.54854887929035,17.923170401700734,19444
INDUSTRIE MANUFACTURIÈRE,Société des Véhicules Automobiles de Batilly,111.09005926541855,17.897548236733215,34148
TRANSPORTS ET ENTREPOSAGE,XPO Supply chain france,204.66311751274316,17.883234268120663,8702
TRANSPORTS ET ENTREPOSAGE,Geodis Logistics Ile de France,204.66311751274316,17.783861084741936,3828
TRANSPORTS ET ENTREPOSAGE,HEPPNER SAS,204.66311751274316,17.70754532470557,10005
INDUSTRIE MANUFACTURIÈRE,SNV,111.09005926541855,17.70731082654585,11294
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE TOULOUSE SARL,10.451564077108435,17.642731761203656,5089.31
ACTIVITÉS DE SCE ADMINISTR  DE SOUTIEN,Pitney Bowes SAS,11.337593411672346,17.596387596983167,1521
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,CAVAC,10.451564077108435,17.51134816050251,18143
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,DOCKS DES MATERIAUX DE LOUEST,10.451564077108435,17.49512651704782,4742
INDUSTRIE MANUFACTURIÈRE,Safran Landing Systems,111.09005926541855,17.45302056487536,28151.6
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,LYRECO FRANCE,10.451564077108435,17.39957365603842,8155
INDUSTRIE MANUFACTURIÈRE,SANDEN MANUFACTURING EUROPE,111.09005926541855,17.39256024390743,3680.63
INDUSTRIE MANUFACTURIÈRE,Fives Nordon,111.09005926541855,17.376265424733326,1547.8
CONSTRUCTION,INEO PROVENCE ET COTE DAZUR,36.54854887929035,17.344407735324054,2462
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,SanofiAventis Recherche et Développement,19.57412416974631,17.283751493428916,28933
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ArcelorMittal Centres de Services,10.451564077108435,17.273143786462555,11332
INFORMATION ET COMMUNICATION,Le Télégramme,3.7966957841262348,17.251756558613554,1483
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,BOIS ET MATÉRIAUX SUDOUEST,10.451564077108435,17.111429168322395,7652
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,POMONA EPISAVEURS,10.451564077108435,17.025480938407703,10103
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,JDC,10.451564077108435,17.001483443741442,1454
ACTIVITÉS FINANCIÈRES ET DASSURANCE,CLINITEX PROPRETE,0.9862627254439513,16.981057731783174,668
